canonical_name,brand,category,size_value,size_unit,barcode,base_price_etb,coverage
Hayat Cooking Oil 1L,Hayat,cooking_oil,1,l,8690632030018,340,rich
Shega White Sugar 1kg,Shega,sugar,1,kg,,205,rich
Ambo Mineral Water 1L,Ambo,bottled_water,1,l,,32,rich
Tomoca Ground Coffee 500g,Tomoca,coffee,500,g,,620,normal
Colgate Herbal Toothpaste 100ml,Colgate,toothpaste,100,ml,,145,normal
Blue Nile Rice 5kg,Blue Nile,rice,5,kg,,690,normal
Lifebuoy Soap 175g,Lifebuoy,soap,175,g,,82,thin
San Marco Pasta 500g,San Marco,pasta,500,g,,95,thin
Omo Detergent Powder 1kg,Omo,detergent,1,kg,,410,stale
Tena Sunflower Oil 1L,Tena,cooking_oil,1,l,,355,rich
Tena Sunflower Oil 3L,Tena,cooking_oil,3,l,,1020,normal
Tena Sunflower Oil 5L,Tena,cooking_oil,5,l,,1680,normal
Chef Luca Macaroni 500g,Chef Luca,pasta,500,g,,92,rich
Chef Luca Spaghetti 500g,Chef Luca,pasta,500,g,,90,normal
555 Laundry Soap 200g,555,soap,200,g,,45,normal
Aura Detergent Powder 500g,Aura,detergent,500,g,,215,normal
Aura Dishwashing Liquid 750ml,Aura,detergent,750,ml,,190,thin
Astco Wheat Flour 1kg,Astco,flour,1,kg,,105,normal
Aquasafe Drinking Water 1L,Aquasafe,bottled_water,1,l,,28,rich
Largo Macaroni 500g,Largo,pasta,500,g,,88,normal
Repi Laundry Soap 400g,Repi,soap,400,g,,78,normal
Repi Multipurpose Detergent 1kg,Repi,detergent,1,kg,,285,normal
Phibela Natural Water 600ml,Phibela,bottled_water,600,ml,,22,normal
Addis Modjo Edible Oil 5L,Addis Modjo,cooking_oil,5,l,,1560,normal
Wush Wush Green Tea 100g,Wush Wush,tea,100,g,,145,normal
Gumaro Black Tea 250g,Gumaro,tea,250,g,,190,normal
Addis Red Label Tea 100 Bags,Addis Red Label,tea,100,piece,,165,thin
Shola Full Cream Milk 1L,Shola,milk,1,l,,96,normal
One Water 1L,One,bottled_water,1,l,,30,normal
Abyssinia Springs Water 2L,Abyssinia Springs,bottled_water,2,l,,46,normal
Wonji White Sugar 1kg,Wonji,sugar,1,kg,,198,normal
Metehara White Sugar 5kg,Metehara,sugar,5,kg,,960,normal
Sunwhite Imported Rice 5kg,Sunwhite,rice,5,kg,,780,normal
Afdera Iodized Salt 1kg,Afdera,salt,1,kg,,38,normal
Colgate Total Toothpaste 75ml,Colgate,toothpaste,75,ml,,118,normal
Sunsilk Shampoo 350ml,Sunsilk,shampoo,350,ml,,380,normal
Kerchanshe Ground Coffee 250g,Kerchanshe,coffee,250,g,,340,normal
Lame Dairy Milk 500ml,Lame,milk,500,ml,,52,thin
Yeshi Wheat Flour 25kg,Yeshi,flour,25,kg,,2050,stale
Dettol Soap 100g,Dettol,soap,100,g,,65,normal
