name,chain,district,latitude,longitude,kind
Central Supermarket,Central Group,Bole,8.9971,38.7878,supermarket
Shoa Supermarket Bole Medhanialem,Shoa Supermarket,Bole,9.0044,38.8074,supermarket
Safeway Supermarket Bole,Safeway,Bole,8.9815,38.7689,supermarket
Getfam Supermarket Atlas,Getfam,Bole,8.9854,38.8013,supermarket
Queens Supermarket Rwanda,Queens Supermarket,Bole,8.9942,38.7836,supermarket
Zemen Supermarket Wollo Sefer,Zemen Supermarket,Bole,9.0025,38.7696,supermarket
Selam Retail Bole,Selam Retail,Bole,8.9777,38.8474,supermarket
Purpose Black Bole,Purpose Black,Bole,8.9758,38.8348,supermarket
Bambis Bole Branch,Bambis,Bole,9.0196,38.8274,supermarket
Friendship Mall Market,,Bole,9.006,38.7816,supermarket
Meskel Flower Fresh Market,,Bole,9.0201,38.7877,supermarket
Genet Supermarket Gerji,,Bole,9.0071,38.8265,supermarket
Gerji Mebrat Haile Market,,Bole,8.9899,38.7615,supermarket
Gerji Mini Market,,Bole,9.0157,38.8041,shop
Bole Michael Corner Shop,,Bole,9.018,38.8035,shop
Alem Suq Bole Bulbula,,Bole,8.9793,38.7891,shop
Arabsa Family Shop,,Bole,8.9803,38.7645,shop
Hana Mart Bole Homes,,Bole,9.0245,38.8072,shop
Japan Sefer Grocery,,Bole,8.9897,38.7925,shop
Cameroon Street Suq,,Bole,9.0126,38.772,shop
Denberua Retail Bole,,Bole,9.0005,38.7715,shop
Airport Road Minimarket,,Bole,9.0007,38.8342,shop
Lem Hotel Grocery,,Bole,9.0099,38.824,shop
Wollo Sefer Daily Shop,,Bole,9.0112,38.7601,shop
Bole Rwanda Suq,,Bole,9.0012,38.7668,shop
Bole Arabsa Wholesale,,Bole,8.9989,38.826,shop
Imperial Minimarket Bole,,Bole,8.9926,38.7609,shop
Bole Dembel Grocery,,Bole,9.0227,38.8168,shop
Woreda 03 Consumer Shop,,Bole,8.9981,38.8283,shop
Sunshine Sefer Market,,Bole,9.0027,38.7731,shop
Bole Tele Suq,,Bole,8.9912,38.8368,shop
Kokeb Minimarket Gerji,,Bole,9.0239,38.8069,shop
Yerer Family Shop,,Bole,8.9868,38.7925,shop
Bethel Suq Bole,,Bole,9.012,38.773,shop
Enat Mart Bole Michael,,Bole,8.9955,38.7954,shop
Abenezer Shop Bole Bulbula,,Bole,9.0084,38.7843,shop
Mekedonia Road Minimarket,,Bole,8.9805,38.7994,shop
Tsehay Mart Bole,,Bole,9.0177,38.8244,shop
Bole Chefe Grocery,,Bole,9.009,38.8123,shop
Winget Road Suq,,Bole,9.0187,38.7737,shop
Shoa Supermarket Megenagna,Shoa Supermarket,Yeka,9.0189,38.8003,supermarket
Safeway Supermarket CMC,Safeway,Yeka,9.036,38.8477,supermarket
Getfam Supermarket Ayat,Getfam,Yeka,9.0842,38.7786,supermarket
Queens Supermarket Gurd Shola,Queens Supermarket,Yeka,9.0287,38.7684,supermarket
Zemen Supermarket Signal,Zemen Supermarket,Yeka,9.0813,38.8471,supermarket
Selam Retail Kotebe,Selam Retail,Yeka,9.0634,38.8284,supermarket
Purpose Black Ayat,Purpose Black,Yeka,9.0611,38.8307,supermarket
Bambis Kebena,Bambis,Yeka,9.0441,38.8207,supermarket
Zefmesh Grand Mall Market,,Yeka,9.0516,38.8564,supermarket
Signal Fresh Market,,Yeka,9.0552,38.8205,supermarket
Ayat Adebabay Market,,Yeka,9.0279,38.8307,supermarket
Fresh Corner Kebena,,Yeka,9.0837,38.8016,shop
Hayahulet Corner Shop,,Yeka,9.0435,38.8449,shop
Megenagna Daily Suq,,Yeka,9.028,38.8306,shop
Shola Market Grocery,,Yeka,9.0509,38.7833,shop
Yeka Abado Family Shop,,Yeka,9.0785,38.8569,shop
Kara Kore Minimarket,,Yeka,9.0747,38.7934,shop
Gurd Shola Consumer Shop,,Yeka,9.0659,38.7839,shop
Kotebe Suq,,Yeka,9.0396,38.8114,shop
22 Mazoria Minimarket,,Yeka,9.0632,38.8536,shop
Semen Mazegaja Grocery,,Yeka,9.0561,38.8009,shop
Kebena Family Shop,,Yeka,9.0739,38.8015,shop
Ferensay Legasion Suq,,Yeka,9.0565,38.7887,shop
British Embassy Road Shop,,Yeka,9.0772,38.8573,shop
CMC Michael Grocery,,Yeka,9.0482,38.8364,shop
Yeka Michael Suq,,Yeka,9.0244,38.7982,shop
Haile Gebreselassie Road Suq,,Yeka,9.0664,38.8445,shop
Meri Loke Minimarket,,Yeka,9.0469,38.8105,shop
Bethel Yeka Shop,,Yeka,9.0636,38.8173,shop
Tafo Grocery,,Yeka,9.0811,38.8299,shop
Wesen Suq Kotebe,,Yeka,9.0492,38.8459,shop
Abado Consumer Cooperative,,Yeka,9.0845,38.8226,shop
Gojo Minimarket Yeka,,Yeka,9.0723,38.8494,shop
Sami Mart Megenagna,,Yeka,9.0454,38.8296,shop
Rahel Shop Hayahulet,,Yeka,9.0709,38.84,shop
Dessie Road Grocery,,Yeka,9.034,38.8109,shop
Yeka Hills Minimarket,,Yeka,9.0733,38.8157,shop
Mesalemiya Suq Yeka,,Yeka,9.0706,38.8505,shop
Enkulal Fabrica Road Shop,,Yeka,9.0205,38.8378,shop
Kidane Mehret Grocery,,Yeka,9.0705,38.8399,shop
Selam Mart,Selam Retail,Arada,9.0366,38.7523,supermarket
Shoa Supermarket Piassa,Shoa Supermarket,Arada,9.0309,38.7372,supermarket
Safeway Supermarket Arat Kilo,Safeway,Arada,9.0321,38.7393,supermarket
Getfam Supermarket Piassa,Getfam,Arada,9.0367,38.7747,supermarket
Queens Supermarket Sidist Kilo,Queens Supermarket,Arada,9.0258,38.7575,supermarket
Zemen Supermarket Arada,Zemen Supermarket,Arada,9.0252,38.7478,supermarket
Bambis Piassa,Bambis,Arada,9.0279,38.7592,supermarket
Purpose Black Merkato,Purpose Black,Arada,9.03,38.761,supermarket
Piassa Fresh Market,,Arada,9.032,38.758,supermarket
Arada Consumer Cooperative,,Arada,9.048,38.7499,supermarket
mohasbeza.com,,Arada,9.0192,38.7525,online
Abebe Shop,,Arada,9.0315,38.7561,shop
Merkato Wholesale Corner,,Arada,9.0341,38.742,shop
Arat Kilo Minimarket,,Arada,9.0242,38.7551,shop
Sidist Kilo Grocery,,Arada,9.0361,38.7466,shop
Amist Kilo Consumer Shop,,Arada,9.0375,38.735,shop
Doro Manekia Suq,,Arada,9.0386,38.7461,shop
Serategna Sefer Shop,,Arada,9.0253,38.7485,shop
Gojam Berenda Wholesale,,Arada,9.0474,38.7395,shop
Autobis Tera Minimarket,,Arada,9.0396,38.7608,shop
Tewodros Square Grocery,,Arada,9.0427,38.7736,shop
Ras Mekonnen Suq,,Arada,9.0292,38.7393,shop
Churchill Avenue Market,,Arada,9.0312,38.7373,shop
Menelik Square Shop,,Arada,9.0231,38.739,shop
Ginfle Family Shop,,Arada,9.0283,38.7786,shop
Sebategna Minimarket,,Arada,9.0293,38.772,shop
Wonberema Grocery,,Arada,9.0454,38.7728,shop
Taitu Street Suq,,Arada,9.0308,38.7709,shop
Cinema Ethiopia Grocery,,Arada,9.0401,38.768,shop
Adarash Minimarket,,Arada,9.0317,38.7363,shop
Arada Giyorgis Shop,,Arada,9.031,38.7774,shop
Enrico Road Suq,,Arada,9.0328,38.7494,shop
Bank Road Minimarket,,Arada,9.0364,38.7706,shop
Semien Hotel Road Grocery,,Arada,9.0467,38.7695,shop
Kuas Meda Suq,,Arada,9.0457,38.7382,shop
Tekle Haymanot Market,,Arada,9.033,38.7634,shop
Yordanos Shop Piassa,,Arada,9.0388,38.7476,shop
Meskerem Minimarket Arada,,Arada,9.0252,38.7733,shop
Nur Suq Merkato,,Arada,9.0297,38.7792,shop
Ras Desta Road Grocery,,Arada,9.0409,38.7613,shop
